time,latitude,longitude,depth,magnitude,place
2024-07-23 13:47:35.241,55.1079,-157.6747,0.0,4.9,"128 km SE of Perryville, Alaska"
2024-07-23 13:15:23.036,-21.1793,-179.0096,603.648,4.7,Fiji region
2024-07-23 10:34:48.038,-6.2324,150.7937,10.0,4.7,"104 km SE of Kimbe, Papua New Guinea"
2024-07-23 09:16:25.411,32.769,-100.67,3.2959,4.4,"17 km NNE of Hermleigh, Texas"
2024-07-23 09:08:42.362,32.753,-100.638,7.6904,4.9,"17 km NE of Hermleigh, Texas"
2024-07-23 08:01:04.397,31.676,-104.407,5.5872,4.2,"55 km S of Whites City, New Mexico"
2024-07-23 06:32:44.722,-6.9022,126.9894,392.134,4.3,"179 km N of Lospalos, Timor Leste"
2024-07-23 04:57:11.041,38.1964,141.9848,60.74,4.6,"54 km ESE of Onagawa Chō, Japan"
2024-07-23 02:21:26.124,8.102,-82.8246,10.0,4.9,"4 km E of Limones, Panama"
2024-07-23 01:47:55.090,8.2425,-82.7302,10.0,5.6,"13 km SE of Manaca Civil, Panama"
2024-07-23 00:49:34.604,8.2328,-82.8412,2.955,5.7,"5 km SSE of Puerto Armuelles, Panama"
2024-07-22 23:06:44.187,-38.1581,-74.0582,22.504,4.6,"70 km SW of Cañete, Chile"
2024-07-22 22:57:25.662,35.0201,141.6073,10.0,4.5,"105 km SE of Hasaki, Japan"
2024-07-22 20:51:12.183,-15.3322,168.2726,10.0,4.6,"120 km E of Luganville, Vanuatu"
2024-07-22 20:17:16.669,-5.3562,131.1858,61.226,5.1,"176 km W of Tual, Indonesia"
2024-07-22 20:09:22.246,39.6782,26.3581,9.772,4.5,"9 km NNW of Ayvacık, Turkey"
2024-07-22 20:08:19.287,-15.5704,168.2145,11.027,5.1,"103 km ENE of Norsup, Vanuatu"
2024-07-22 15:44:48.262,-22.5381,171.2395,77.883,4.9,southeast of the Loyalty Islands
2024-07-22 15:42:15.107,-18.337,-177.9074,641.082,4.5,"295 km E of Levuka, Fiji"
2024-07-22 13:38:09.971,41.5032,45.9528,31.311,4.4,"13 km S of Ts’nori, Georgia"
2024-07-22 12:33:58.333,36.5182,70.3634,205.979,4.6,"45 km E of Farkhār, Afghanistan"
2024-07-22 12:23:57.933,-56.0139,-27.3213,57.703,5.2,South Sandwich Islands region
2024-07-22 11:53:19.793,-18.4267,-69.7378,132.877,4.1,"59 km E of Arica, Chile"
2024-07-22 11:38:20.683,-15.5167,168.0051,10.0,5.0,"89 km NE of Norsup, Vanuatu"
2024-07-22 10:34:30.168,-15.5442,168.0426,10.0,6.0,"90 km NE of Norsup, Vanuatu"
2024-07-22 10:34:12.418,-15.507,168.1122,10.0,5.2,"98 km NE of Norsup, Vanuatu"
